RAZAO SOCIAL	CNPJ	LINHA	Janeiro	Fevereiro	Marco	Abril	Total	Media
ACEBRAS ACETATOS DO BRASIL LTDA	'44815777000180'	'18 L'	2925	0	1949	0	4874	1219
ADVANCE TINTAS E VERNIZES LTDA	'72739873000121'	'5 L'	4032	6256	7056	0	17344	4336
ADVANCE TINTAS E VERNIZES LTDA	'72739873000121'	'18 L'	0	630	654	0	1284	321
ADVANCE TINTAS E VERNIZES LTDA	'72739873000121'	'BALDE'	0	0	1200	0	1200	300
ALTERNATIVA IND. E COM. DE TINTAS LTDA	'02287839000188'	'BALDE'	1091	1200	2482	0	4773	1193
ALVONIL IND. DE TINTAS E VERNIZES LTDA	'62345137000135'	'18 L'	4084	2442	1380	0	7906	1977
ALVONIL IND. DE TINTAS E VERNIZES LTDA	'62345137000135'	'25KG(14L)'	1983	0	0	0	1983	496
ART COLOR IND. E COM. TINTAS LTDA	'03053235000130'	'18 L'	0	0	1275	0	1275	319
AS  GODINHO TINTAS ME	'05027386000149'	'18 L'	2900	0	2180	0	5080	1270
BRASOLV IND. QUÍM. LTDA	'05585169000174'	'5 L'	9347	11828	11408	0	32583	8146
BRASOLV IND. QUÍM. LTDA	'05585169000174'	'18 L'	2849	0	2662	0	5511	1378
BRILTEC IND. E COM. DE TINTAS LTDA ME	'65727133000100'	'18 L'	0	1386	0	0	1386	347
TOCANTINS IND. E COM.DE TINTAS LTDA	'05687326000152'	'18 L'	15567	9467	5321	0	30355	7589
TOCANTINS IND. E COM.DE TINTAS LTDA	'05687326000152'	'25KG(14L)'	1950	1955	1440	0	5345	1336
BRASILUX TINTAS TÉCNICAS LTDA	'72770878000117'	'5 L'	5184	0	0	0	5184	1296
BRASILUX TINTAS TÉCNICAS LTDA	'72770878000117'	'BALDE'	4620	7151	7788	0	19559	4890
CONSTRUTINTAS COM. DE TINTAS E VERNIZES LTDA	'47992284000103'	'BALDE'	0	0	280	0	280	70
DUVON IND. E COM. LTDA	'64516255000194'	'18 L'	1190	0	0	0	1190	298
DUVON IND. E COM. LTDA	'64516255000194'	'BALDE'	1293	0	0	0	1293	323
DURAGEL QUÍMICA LTDA EPP	'04658429000121'	'18 L'	0	926	1025	0	1951	488
DURAGEL QUÍMICA LTDA EPP	'04658429000121'	'25KG(14L)'	0	2964	0	0	2964	741
DISSOLTEX IND. QUÍMICA LTDA	'59599555000144'	'5 L'	0	8048	0	0	8048	2012
DISSOLTEX IND. QUÍMICA LTDA	'59599555000144'	'18 L'	0	2595	0	0	2595	649
DISSOLTEX IND. QUÍMICA LTDA	'59599555000144'	'BALDE'	0	1960	1961	0	3921	980
DISSOLMINAS IND. DISSOLV. M.GERAIS	'17156753000193'	'5 L'	1152	5100	0	0	6252	1563
DISSOLMINAS IND. DISSOLV. M.GERAIS	'17156753000193'	'BALDE'	0	725	0	0	725	181
DINO IND. E COM. DE TINTAS LTDA	'04268073000110'	'18 L'	0	1449	0	0	1449	362
DINO IND. E COM. DE TINTAS LTDA	'04268073000110'	'25KG(14L)'	0	702	0	0	702	176
DENVER IMPERMEABILIZANTES IND.E COM,LTDA	'04064707000112'	'5 L'	300	304	0	0	604	151
DENVER IMPERMEABILIZANTES IND.E COM,LTDA	'04064707000112'	'18 L'	1530	1143	1320	0	3993	998
DELLA VALLE IND.E COM.DE TINTAS LTDA EPP	'03001379000142'	'18 L'	3652	5455	4890	0	13997	3499
FALCHI IND. DE TINTAS LTDA	'01681294000127'	'18 L'	2898	0	3018	0	5916	1479
GEKAR IND. QUÍMICA LTDA	'02267554000185'	'5 L'	843	0	0	0	843	211
GEKAR IND. QUÍMICA LTDA	'02267554000185'	'18 L'	0	4604	1414	0	6018	1505
GOL BRASIL IND. QUÍMICA LTDA	'05758630000143'	'5 L'	70326	78912	40320	0	189558	47390
GOL BRASIL IND. QUÍMICA LTDA	'05758630000143'	'18 L'	6420	3570	0	0	9990	2498
ITW  PPF  BRASIL  ADESIVOS  LTDA.  1	'05858780000129'	'18 L'	720	680	0	0	1400	350
IND. QUÍM. CORCOVADO LTDA	'33223132000131'	'5 L'	0	0	2016	0	2016	504
IND. QUÍM. CORCOVADO LTDA	'33223132000131'	'18 L'	0	0	1392	0	1392	348
INDUTIL IND. DE TINTAS LTDA	'61409355000123'	'5 L'	2288	0	0	0	2288	572
INDUTIL IND. DE TINTAS LTDA	'61409355000123'	'BALDE'	0	1508	0	0	1508	377
JPS  IND. COM. TINTAS LTDA	'06986291000115'	'BALDE'	0	981	560	0	1541	385
SIKA QUIMICA LTDA	'02884945000149'	'18 L'	2386	0	0	0	2386	597
MILUCI TINTAS E VERNIZES LTDA	'65038366000103'	'18 L'	1092	0	0	0	1092	273
IMPERMASTER TINTAS E EMPERMEABILIZANTES	'01385741000109'	'18 L'	3221	915	0	0	4136	1034
MAZA PRODUTOS QUIMICOS LTDA	'96230719000198'	'5 L'	22453	7416	17088	0	46957	11739
MAZA PRODUTOS QUIMICOS LTDA	'96230719000198'	'18 L'	6965	16710	8892	0	32567	8142
MAZA PRODUTOS QUIMICOS LTDA	'96230719000198'	'25KG(14L)'	5618	17011	10855	0	33484	8371
MAXI-RUBBER IND. QUIMICA LTDA	'00283822000127'	'18 L'	408	52	180	0	640	160
MAXI-RUBBER IND. QUIMICA LTDA	'00283822000127'	'BALDE'	0	188	0	0	188	47
MARCOBI IND. E COM. LTDA	'00574081000133'	'18 L'	1080	0	0	0	1080	270
CDB IND. E COM. DE PRODS. QUIMICOS LTDA	'00738437000127'	'5 L'	2559	0	2446	0	5005	1251
CDB IND. E COM. DE PRODS. QUIMICOS LTDA	'00738437000127'	'18 L'	1422	1260	0	0	2682	671
IND. E COM. DE TINTAS ROMA LTDA  SP	'72866528000159'	'18 L'	2847	0	0	0	2847	712
IND. QUIMICAS IRAJA LTDA	'60910023000165'	'25KG(14L)'	0	6534	0	0	6534	1634
NATRIELLI QUIMICA LTDA	'58812108000169'	'5 L'	23921	33557	17013	0	74491	18623
NATRIELLI QUIMICA LTDA	'58812108000169'	'18 L'	2257	3051	3142	0	8450	2113
FS GUARU IND. DE TINTAS SERIG. LTDA	'02167712000125'	'5 L'	120	600	240	0	960	240
TINTAS REAL COMPANY IND.E COM.TINTAS - SP	'01129082000131'	'18 L'	9208	37659	14044	0	60911	15228
TINTAS REAL COMPANY IND.E COM.TINTAS - SP	'01129082000131'	'25KG(14L)'	33547	28074	22863	0	84484	21121
THINSOL QUIMICA INDL. LTDA	'96554928000197'	'5 L'	22025	17960	0	0	39985	9996
THINSOL QUIMICA INDL. LTDA	'96554928000197'	'18 L'	1890	3570	0	0	5460	1365
THINSOL QUIMICA INDL. LTDA	'96554928000197'	'BALDE'	0	840	0	0	840	210
GENESIS IND. E COM. DE PRODS. QUIM LTDA	'53542841000197'	'5 L'	2431	0	0	0	2431	608
GENESIS IND. E COM. DE PRODS. QUIM LTDA	'53542841000197'	'18 L'	1248	0	0	0	1248	312
QUALIFLEX  IND. E COM. DE TINTAS LTDA-ME	'03106449000127'	'18 L'	4802	7517	6670	0	18989	4747
INDUSTRIA  QUIMICA  UNA LTDA	'60600152000238'	'18 L'	7322	2506	2506	0	12334	3084
DELTA TINTAS LTDA  GO	'37655461000102'	'18 L'	414	1242	0	0	1656	414
DIOXYL REVESTIMENTOS QUIMICOS LTDA. -SC	'95756110000194'	'5 L'	0	5256	0	0	5256	1314
DIOXYL REVESTIMENTOS QUIMICOS LTDA. -SC	'95756110000194'	'18 L'	15750	26880	9342	0	51972	12993
EDEN QUIMICA INDL. LTDA	'47010863000103'	'5 L'	2047	3024	0	0	5071	1268
EDEN QUIMICA INDL. LTDA	'47010863000103'	'18 L'	1260	1440	1284	0	3984	996
EDEN QUIMICA INDL. LTDA	'47010863000103'	'BALDE'	0	2403	0	0	2403	601
VIP QUIMICA ESPECIALIZADA LTDA	'53622957000136'	'5 L'	0	80	0	0	80	20
VIP QUIMICA ESPECIALIZADA LTDA	'53622957000136'	'BALDE'	0	140	180	0	320	80
PETROCOLA IND. QUIMICA LTDA	'53458287000164'	'BALDE'	1479	1253	1116	0	3848	962
PIROSOL PRODS. QUIMICOS LTDA	'59334508000179'	'5 L'	7606	7478	5264	0	20348	5087
PIROSOL PRODS. QUIMICOS LTDA	'59334508000179'	'18 L'	1671	3495	4780	0	9946	2487
QUIMICA NACIONAL QUIMIONAL LTDA	'59105767000128'	'18 L'	643	3657	5166	0	9466	2367
QUIMICA NACIONAL QUIMIONAL LTDA	'59105767000128'	'BALDE'	540	528	600	0	1668	417
MIXCOLOR IND. E COM. DE TINTAS LTDA-ME	'05536213000156'	'18 L'	0	0	3330	0	3330	833
MASTER TINTAS IND. E COM. LTDA	'04071043000119'	'18 L'	0	0	1035	0	1035	259
OTTO BAUNGART IND. E COM. S/A	'60642774000148'	'18 L'	6150	11940	2075	0	20165	5041
PERFORTEX IND. DE REC. DE SUPER LTDA	'67126854000190'	'5 L'	576	0	719	0	1295	324
PERFORTEX IND. DE REC. DE SUPER LTDA	'67126854000190'	'18 L'	210	0	502	0	712	178
PERFORTEX IND. DE REC. DE SUPER LTDA	'67126854000190'	'BALDE'	1680	1680	0	0	3360	840
PINTACOR IND. QUIM. LTDA	'38631495000120'	'5 L'	3295	0	0	0	3295	824
PINTACOR IND. QUIM. LTDA	'38631495000120'	'18 L'	1423	2020	0	0	3443	861
POLETINTAS INDUSTRIA QUIMICA LTDA	'62405022000199'	'BALDE'	1576	0	0	0	1576	394
POLIFILM IND. E COM. DE TINTAS E VERN.LTDA	'03781363000108'	'BALDE'	80	160	0	0	240	60
BRASCOR IND. E COM. DE TINTAS LTDA	'47695689000180'	'18 L'	900	720	0	0	1620	405
R.LIGUORI LTDA	'64637630000154'	'18 L'	60	0	0	0	60	15
RESICLEAR QUIMICA LTDA	'01327273000108'	'18 L'	1150	0	0	0	1150	288
RESICLEAR QUIMICA LTDA	'01327273000108'	'BALDE'	40	0	1815	0	1855	464
RESIZAN IND. DE TINTAS LTDA	'00541539000158'	'5 L'	0	2592	0	0	2592	648
RESIZAN IND. DE TINTAS LTDA	'00541539000158'	'18 L'	1150	0	0	0	1150	288
RHAI IND. E COM. DE MASSAS PLÁSTICA LTDA	'77536829000138'	'5 L'	0	5184	0	0	5184	1296
RHAI IND. E COM. DE MASSAS PLÁSTICA LTDA	'77536829000138'	'18 L'	900	0	0	0	900	225
RISCOFER TINTAS E VERNIZES LTDA	'48922769000193'	'5 L'	0	104	0	0	104	26
VINILAK QUIMICA LTDA -  EPP	'02984760000106'	'18 L'	0	4076	314	0	4390	1098
SIQUIPLAS IND. DE PLASTICO LTDA.  1	'55715767000199'	'BALDE'	30	0	0	0	30	8
SOLVENTEX IND. QUIM. LTDA	'60433778000116'	'18 L'	31432	24061	11047	0	66540	16635
SOLVENTEX IND. QUIM. LTDA	'60433778000116'	'BALDE'	120	0	0	0	120	30
SUPRA TINTAS IND. LTDA	'68924885000159'	'BALDE'	500	0	0	0	500	125
TECH PAINT TINTAS INDUSTRIAIS LTDA EPP	'02868975000161'	'18 L'	0	1449	0	0	1449	362
TECNOCOLOR IND.DE TINTAS E VERNIZES LTDA	'01239899000162'	'BALDE'	1597	0	0	0	1597	399
TORDIN IND. E COM. DE PROD. QUIM. LTDA	'03443459000158'	'18 L'	0	5450	5730	0	11180	2795
VIVACOR IND. DE TINTAS E VERNIZES LTDA	'61796546000195'	'5 L'	500	0	0	0	500	125
PLASTIN IND. E COM. DE TINTAS E VERN.LTDA	'02972310000101'	'18 L'	0	864	0	0	864	216
VIAPOL LTDA	'58681867000130'	'18 L'	8291	2160	0	0	10451	2613
DIRECIONAL ARGAMASSA E REVEST.LTDA	'03754039000192'	'18 L'	2400	0	2400	0	4800	1200
VI  INDUSTRIA E COMERCIO LTDA	'62018759000159'	'18 L'	720	2530	1080	0	4330	1083
DURLIN TINTAS E VERNIZES LTDA	'60739216000103'	'18 L'	24	0	288	0	312	78
SINALIN IND. E COM. LTDA	'58028275000113'	'18 L'	0	1080	0	0	1080	270
HEXA QUIMICA LTDA	'32290405000106'	'18 L'	1000	1050	0	0	2050	513
SULAN IND.E COM.LTDA	'59689323000187'	'18 L'	2496	1896	0	0	4392	1098
ANNETTA INDUSTRIA QUIMICA LTDA	'03321278000159'	'18 L'	0	0	1008	0	1008	252
CORIARTE TINTAS LTDA	'72484538000200'	'5 L'	576	0	0	0	576	144
CORIARTE TINTAS LTDA	'72484538000200'	'18 L'	1656	1167	2067	0	4890	1223
CORIARTE TINTAS LTDA	'72484538000200'	'BALDE'	0	0	140	0	140	35
CRISTA IND. COM. LTDA	'00653118000119'	'18 L'	1284	1086	0	0	2370	593
GERTAL IND. E COM. LTDA-ME	'36524643000181'	'18 L'	0	0	1461	0	1461	365
STILCOR IND. E COM. LTDA	'60602729000160'	'18 L'	0	2085	0	0	2085	521
PYROZZAR IND. QUIMICA COM. LTDA	'45480860000108'	'BALDE'	13544	15561	7130	0	36235	9059
CAMPESTRE IND E COM DE OLEOS VEGETAIS LTDA	'45557907000194'	'18 L'	720	0	0	0	720	180
MODULO IND. E COM. DE TINTAS ME 	'05535110000171'	'18 L'	0	2172	531	0	2703	676
TULON COM. DE TINTAS LTDA - EPP	'01906306000174'	'BALDE'	140	0	0	0	140	35
TINTAS VAN BLASTER LTDA	'01509423000102'	'18 L'	2154	0	0	0	2154	539
TINTAS VAN BLASTER LTDA	'01509423000102'	'25KG(14L)'	7256	3315	0	0	10571	2643
TONACRIL IND. DE TINTAS LTDA	'02580032000139'	'18 L'	0	2871	0	0	2871	718
LEDA IND. E COM. DE OLEOS VEGETAIS LTDA.	'74365693000152'	'18 L'	5575	5582	3837	0	14994	3749
MAVARO IND. E COM. DE PROD. QUIMICOS LTDA	'59720284000133'	'18 L'	1950	1242	1091	0	4283	1071
FABR. MATS. ISOLANTES ISOLASIL S.A	'57017824000191'	'18 L'	0	0	484	0	484	121
VELUTEX IND. E COM. DE TINTAS LTDA	'03896890000150'	'5 L'	0	14976	0	0	14976	3744
VELUTEX IND. E COM. DE TINTAS LTDA	'03896890000150'	'18 L'	0	2307	0	0	2307	577
VELUTEX IND. E COM. DE TINTAS LTDA	'03896890000150'	'BALDE'	1988	0	0	0	1988	497
VELUTEX IND. E COM. DE TINTAS LTDA	'03896890000150'	'25KG(14L)'	3276	0	0	0	3276	819
VICOR INDUSTRIA, COMERCIO E LOGISTICA LTDA	'16354342000140'	'18 L'	2277	0	0	0	2277	569
VICOR INDUSTRIA, COMERCIO E LOGISTICA LTDA	'16354342000140'	'BALDE'	420	0	0	0	420	105
FORMILINE IND. DE LAMINADOS LTDA	'55183248001018'	'5 L'	1758	5520	1008	0	8286	2072
FORMILINE IND. DE LAMINADOS LTDA	'55183248001018'	'18 L'	34434	49173	25840	0	109447	27362
DELTA BA	'37655461000374'	'18 L'	2898	2898	0	0	5796	1449
SIQUIPLAST IND. DE PLASTICOS LTDA. 2	'55715767000431'	'BALDE'	0	70	70	0	140	35
ALTHA COR TINTAS LTDA 	'06914825000106'	'18 L'	1500	0	0	0	1500	375
TB GUEDES TINTAS - ME 	'07078832000170'	'18 L'	0	0	1082	0	1082	271
TVM IND. E COMERCIO E SERVIÇOS LTDA	'01819669000172'	'18 L'	1449	207	1242	0	2898	725
TVM IND. E COMERCIO E SERVIÇOS LTDA	'01819669000172'	'25KG(14L)'	230	442	466	0	1138	285
ELLUS TINTAS LTDA - ME	'03510841000137'	'18 L'	0	2874	1000	0	3874	969
ITEMP - SOMEFOR IND.E COM.DE TINTAS LTDA	'04027149000115'	'18 L'	5704	2898	2922	0	11524	2881
ITEMP - SOMEFOR IND.E COM.DE TINTAS LTDA	'04027149000115'	'25KG(14L)'	0	3171	0	0	3171	793
PRINCELUX IND.E COM.DE TINTAS LTDA	'03979210000161'	'18 L'	1260	0	0	0	1260	315
MEGA QUIMICA EMBAL.PRODS.QUIMICOS LTDA	'05064859000188'	'18 L'	1367	0	0	0	1367	342
MEGA QUIMICA EMBAL.PRODS.QUIMICOS LTDA	'05064859000188'	'BALDE'	1170	0	0	0	1170	293
MAZURCHI QUIMICA LTDA - EPP	'06080385000120'	'18 L'	1912	0	1518	0	3430	858
QUALISOL IND. E COM. PRODUTOS QUIMICOS LTDA.	'01874108000176'	'18 L'	2100	0	0	0	2100	525
TINTAS SIX COLLOR IND. E COM. LTDA - EPP	'07924040000179'	'5 L'	2168	2008	0	0	4176	1044
TINTAS SIX COLLOR IND. E COM. LTDA - EPP	'07924040000179'	'18 L'	220	414	0	0	634	159
SÃO MARCO IND. E COM. LTDA	'54022744000136'	'5 L'	0	264	2138	0	2402	601
SÃO MARCO IND. E COM. LTDA	'54022744000136'	'BALDE'	0	209	897	0	1106	277
AURACOR IND. E COM. LTDA - EPP	'07874097000100'	'18 L'	1488	0	1434	0	2922	731
COLORMAX TINTAS E VERNIZES LTDA	'02720469000120'	'5 L'	0	0	3125	0	3125	781
COLORMAX TINTAS E VERNIZES LTDA	'02720469000120'	'18 L'	0	1035	0	0	1035	259
SIKA S/A	'33081704000195'	'18 L'	0	3009	2124	0	5133	1283
LUKSNOVA S/A IND. E COM.	'44381747000102'	'5 L'	0	6449	0	0	6449	1612
VINICOLOR IND.COM.TINTAS TEXTURAS GRAF.LTDA	'07855544000184'	'BALDE'	0	0	280	0	280	70
SULACOR TINTAS LTDA	'06272947000138'	'18 L'	2832	7840	0	0	10672	2668
MASSITA DO BRASIL LTDA. - EPP	'05252814000137'	'5 L'	4032	0	0	0	4032	1008
INDUSCOR COMÉRCIO DE TINTAS LTDA-ME	'07888591000124'	'18 L'	169	590	0	0	759	190
WELCKMAN IND. DE TINTAS LTDA-ME	'08391460000108'	'18 L'	0	2898	0	0	2898	725
TINTAS ANTARES LTDA	'03580670000112'	'5 L'	8064	7380	8064	0	23508	5877
TINTAS ANTARES LTDA	'03580670000112'	'18 L'	4757	4543	2898	0	12198	3050
DILUTEC IND.COM.PROD.QUIMICOS LTDA	'59266676000174'	'5 L'	0	1390	0	0	1390	348
DILUTEC IND.COM.PROD.QUIMICOS LTDA	'59266676000174'	'BALDE'	1707	840	1000	0	3547	887
NEO IND E COM DE TINTAS E REVEST LTDA ME	'07420906000104'	'18 L'	0	2898	0	0	2898	725
IQL IND.E COM.DE PRODS. QUIMICOS LTDA	'07098541000143'	'BALDE'	0	1000	0	0	1000	250
TEXTURA SÃO CAETANO IND.E COM.DE TINTAS	'08967356000100'	'18 L'	0	0	2070	0	2070	518
TINTAS ANCORA LTDA	'59109595000160'	'BALDE'	0	20	0	0	20	5
TINTAS VIP IND. E COM. LTDA	'09209455000196'	'18 L'	3555	4350	2100	0	10005	2501
A.J  DA CUNHA TINTAS - ME	'60595295000118'	'18 L'	0	0	1008	0	1008	252
VOGA QUIMICA LTDA	'09632195000167'	'18 L'	2898	8694	7866	0	19458	4865
RAIOLUX IND.E COM. DE TINTAS LTDA - ME	'06878874000122'	'BALDE'	1960	0	0	0	1960	490
MASSASEL IND. E COM. LTDA	'09143361000161'	'18 L'	5913	5517	0	0	11430	2858
MASSASEL IND. E COM. LTDA	'09143361000161'	'25KG(14L)'	0	3276	3276	0	6552	1638
DUBUIT PAINT TINTAS E VERNIZES LTDA 1	'61520045000424'	'5 L'	0	1008	0	0	1008	252
FOTOQUIMICA HEXA IND COM PRODS.QUIM.LTDA	'62759808000104'	'5 L'	1728	1972	2520	0	6220	1555
FOTOQUIMICA HEXA IND COM PRODS.QUIM.LTDA	'62759808000104'	'18 L'	900	1470	0	0	2370	593
AMAZONAS PROD. PARA CALÇADOS LTDA - SP	'47959697000358'	'5 L'	4032	2533	2520	0	9085	2271
AMAZONAS PROD. PARA CALÇADOS LTDA - SP	'47959697000358'	'18 L'	22554	19343	15036	0	56933	14233
AQUAFLEX TINTAS ESPECIAIS LTDA	'10651567000181'	'18 L'	0	996	0	0	996	249
AQUAFLEX TINTAS ESPECIAIS LTDA	'10651567000181'	'25KG(14L)'	0	2050	0	0	2050	513
YALEN QUIMICA LTDA-EPP	'07997062000169'	'18 L'	2070	0	0	0	2070	518
UNIC COM. DE TINTAS LTDA-ME	'10907027000116'	'18 L'	0	1379	0	0	1379	345
LUMINAR TINTAS E VERNIZES LTDA	'61360053000108'	'18 L'	0	2160	0	0	2160	540
TIMAR TINTAS E REVESTIMENTOS LTDA	'06337585000116'	'18 L'	1449	0	0	0	1449	362
INDUSCOLOR IND.E COM.DE TINTAS LTDA-ME	'09540021000174'	'BALDE'	100	1557	0	0	1657	414
SVP IND. E COM. DE TINTAS LTDA	'09259019000121'	'BALDE'	0	1126	0	0	1126	282
INDUSPOL IND.E COM.DE POLIMEROS LTDA	'54991591000216'	'18 L'	1155	2160	1080	0	4395	1099
OS CARVALHOS DO RECREIO MAT.CONSTRUÇÃO LTDA	'04158808000152'	'18 L'	0	0	1059	0	1059	265
ARTECOLA INDUSTRIAS QUIMICAS LTDA  BA	'44699346001509'	'18 L'	2940	2940	5880	0	11760	2940
DRATEC IND.E COM.DE TINTAS LTDA	'04788457000163'	'18 L'	1623	0	0	0	1623	406
AMAZONAS PROD.PARA CALÇADOS LTDA-PB	'47959697001400'	'18 L'	0	2940	2940	0	5880	1470
