RAZAO SOCIAL	CNPJ	LINHA	Janeiro	Fevereiro	Total	Media
ADVANCE TINTAS E VERNIZES LTDA	'72739873000121'	'GALAO-S'	23530	0	23530	11765
ADVANCE TINTAS E VERNIZES LTDA	'72739873000121'	'900ML-83,5'	6930	0	6930	3465
BRASOLV INDUSTRIA QUIMICA  LTDA	'05585169000174'	'900ML-83,5'	10438	0	10438	5219
BRILTEC INDUSTRIA E COMERCIO DE TINTAS LTDA ME	'65727133000100'	'1/4  (S)'	3000	0	3000	1500
BRILTEC INDUSTRIA E COMERCIO DE TINTAS LTDA ME	'65727133000100'	'GALAO-S'	4000	0	4000	2000
TOCANTINS INDUSTRIA E COMERCIO DE TINTAS LTDA	'05687326000152'	'1/16'	3258	0	3258	1629
TOCANTINS INDUSTRIA E COMERCIO DE TINTAS LTDA	'05687326000152'	'1/4  (A)'	7682	0	7682	3841
TOCANTINS INDUSTRIA E COMERCIO DE TINTAS LTDA	'05687326000152'	'GALAO-A'	10274	0	10274	5137
BRASILUX TINTAS TECNICAS LTDA	'72770878000117'	'1/4  (S)'	9993	0	9993	4997
DURAGEL QUÍMICA LTDA EPP	'04658429000121'	'GALAO-A'	2130	0	2130	1065
DOMENICHELLI IND. E COM. LTDA	'72895741000199'	'1/4  (S)'	5712	0	5712	2856
DINO IND. E COM. DE TINTAS LTDA	'04268073000110'	'GALAO-A'	529	0	529	265
GOL BRASIL IND. QUÍMICA LTDA	'05758630000143'	'450ML-73,3'	44145	0	44145	22073
GOL BRASIL IND. QUÍMICA LTDA	'05758630000143'	'900ML-83,5'	115801	0	115801	57901
SIKA S/A - LENÇOIS PAULISTA	'33081704002481'	'1/4  (S)'	5385	0	5385	2693
SIKA S/A - LENÇOIS PAULISTA	'33081704002481'	'GALAO-S'	7087	0	7087	3544
MILUCI TINTAS E VERNIZES LTDA	'65038366000103'	'GALAO-A'	840	0	840	420
MAXI-RUBBER IND. QUIMICA LTDA	'00283822000127'	'1/8'	2580	0	2580	1290
MAXI-RUBBER IND. QUIMICA LTDA	'00283822000127'	'1/16'	17209	0	17209	8605
MAXI-RUBBER IND. QUIMICA LTDA	'00283822000127'	'Ø120 (AUTO)'	20000	0	20000	10000
MAXI-RUBBER IND. QUIMICA LTDA	'00283822000127'	'Ø126 CERA ESPECIAL'	27000	0	27000	13500
MAXI-RUBBER IND. QUIMICA LTDA	'00283822000127'	'Ø139-MARMITA'	82080	0	82080	41040
MAXI-RUBBER IND. QUIMICA LTDA	'00283822000127'	'1/4  (S)'	94309	0	94309	47155
MAXI-RUBBER IND. QUIMICA LTDA	'00283822000127'	'1/4 ESPECIAL'	13244	0	13244	6622
MAXI-RUBBER IND. QUIMICA LTDA	'00283822000127'	'GALAO-S'	13628	0	13628	6814
MAXI-RUBBER IND. QUIMICA LTDA	'00283822000127'	'900ML-83,5'	17764	0	17764	8882
MAXI-RUBBER IND. QUIMICA LTDA	'00283822000127'	'MP'	108127	0	108127	54064
CDB IND. E COM. DE PRODS. QUIMICOS LTDA	'00738437000127'	'900ML-83,5'	12172	0	12172	6086
NATRIELLI QUIMICA LTDA	'58812108000169'	'900ML-83,5'	93428	0	93428	46714
TINTAS REAL COMPANY IND.E COM.TINTAS - SP	'01129082000131'	'1/4  (A)'	5836	0	5836	2918
TINTAS REAL COMPANY IND.E COM.TINTAS - SP	'01129082000131'	'1/4  (S)'	4708	0	4708	2354
TINTAS REAL COMPANY IND.E COM.TINTAS - SP	'01129082000131'	'GALAO-A'	17734	0	17734	8867
TINTAS REAL COMPANY IND.E COM.TINTAS - SP	'01129082000131'	'GALAO-S'	16270	0	16270	8135
SIKA AUTOMOTIVE LTDA. (SP)	'60984275000139'	'GALAO-S'	2208	0	2208	1104
GENESIS IND. E COM. DE PRODS. QUIM LTDA	'53542841000197'	'1/4  (A)'	6384	0	6384	3192
QUALIFLEX  INDUSTRIA E COMERCIO DE TINTAS LTDA ME	'03106449000127'	'1/16'	9856	0	9856	4928
QUALIFLEX  INDUSTRIA E COMERCIO DE TINTAS LTDA ME	'03106449000127'	'1/4  (A)'	10200	0	10200	5100
QUALIFLEX  INDUSTRIA E COMERCIO DE TINTAS LTDA ME	'03106449000127'	'GALAO-A'	7922	0	7922	3961
EDEN QUIMICA INDL. LTDA	'47010863000103'	'1/16'	1080	0	1080	540
EDEN QUIMICA INDL. LTDA	'47010863000103'	'900ML-83,5'	12533	0	12533	6267
IMAGRAF IND. DE TINTAS GRAFICAS LTDA	'43083153000152'	'1/4  (A)'	2913	0	2913	1457
PETROCOLA IND. QUIMICA LTDA	'53458287000164'	'900ML-83,5'	4950	0	4950	2475
QUIMICA NACIONAL QUIMIONAL LTDA	'59105767000128'	'1/4  (A)'	5522	0	5522	2761
QUIMICA NACIONAL QUIMIONAL LTDA	'59105767000128'	'GALAO-S'	3119	0	3119	1560
OTTO BAUMGART IND. E COM. S/A	'60642774000148'	'1/4  (S)'	18290	0	18290	9145
OTTO BAUMGART IND. E COM. S/A	'60642774000148'	'1/4 ESPECIAL'	10196	0	10196	5098
OTTO BAUMGART IND. E COM. S/A	'60642774000148'	'GALAO-S'	22954	0	22954	11477
OTTO BAUMGART IND. E COM. S/A	'60642774000148'	'900ML-83,5'	10368	0	10368	5184
PINTACOR IND. QUIM. LTDA	'38631495000120'	'1/4  (A)'	5735	0	5735	2868
