VENDEDOR	CLIENTE	ROTULO	Pedido de Venda	Status OP	DESCRICAO	OP	COD.CAPACIDADE	CAPACIDADE	TIPO	DATA ENTRADA	DATA PREPARACAO	DATA LITOGRAFIA	DATA MONSTAGEM	DATA ENTREGA	QUANTIDADE PEDIDO	QTDE FOLHAS	QTDE POR FOLHA	VERNIZ.INT 01	VERNIZ.INT 02	ESMALTE	REVESTIMENTO	VERNIZ.ACABAMENTO	PREPARACAO	1a.COR	2a.COR	3a.COR	4a.COR	5a.COR	6a.COR	7a.COR	8a.COR	LITOGRAFIA	FECHAMENTO	Neck IN	Qtde.OP	Qtde.Faturada	Data Faturada	Nota Fiscal	Saldo.OP	OP.Faturada	Estado.Entrega	Cidade Entrega	OBS. da OP	Fechamento	Verniz CP	Verniz TP	Verniz FD	Verniz ARG	Total.Fat	Status Pela Tolerancia
CLAUDIO FRANCO DA ROCHA	SAKATA SEED SUDAMERICA LTDA	995.0284.03.0	4222012	Finalizada	MP500- SAKATA  SEMENTES  500G (RECRAVAR TP) C/ VZ	6332012	995	MP.	LATA	27/07/2012	03/01/2013	07/01/2013	08/01/2013	10/01/2013	22000	0	0	EPOXI FENOLICO		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		MARROM PREPARADO	VERMELHO LINOVA	BRANCO OPACO							A RECRAVAR	NÃO	22000	21113	05/02/2013	21432	887	6332012	SP	BRAGANÇA PAULISTA			VI	VZ	VZ		21113	Finalizada
CLAUDIO FRANCO DA ROCHA	SINTELUX  TINTAS E VERNIZES LTDA	995.1461.01.0	14452012	Finalizada	MP800- DIMARMORE  MASSA  PLASTICA 800G	20732012	995	MP.	LATA	27/09/2012	07/01/2013	11/01/2013	12/01/2013	14/01/2013	8000	467	18				SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO PREPARADO	VERMELHO LINOVA	PRETO	BRANCO OPACO	BRANCO OPACO 2ªPASS					TP4	NÃO	8000	8232	21/01/2013	21048	-232	20732012	RS	GLORINHA		SOLDA	NAT	NAT	NAT		8232	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	16552012	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	23392012	361	GALÃO-S.	LATA	09/10/2012	31/12/2012	04/01/2013	05/01/2013	07/01/2013	8280	2174	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	PRETO	MAGENTA EUROPA						FA	NÃO	8280	6919	05/01/2013	20648	1361	23392012	SP	INDAIATUBA			NAT	VEX	VEX	VEX	6919	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	16562012	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	23402012	361	GALÃO-S.	LATA	09/10/2012	07/01/2013	11/01/2013	12/01/2013	14/01/2013	8280	2174	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	PRETO	MAGENTA EUROPA						FA	NÃO	8280	4462	14/01/2013	20840	3818	23402012	SP	INDAIATUBA			NAT	VEX	VEX	VEX	8483	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.05.0	16562012	Finalizada	3,6S- ADVANCE  VERMELHO  S/VZ	23402012	361	GALÃO-S.	LATA	09/10/2012	07/01/2013	11/01/2013	12/01/2013	14/01/2013																						4021	17/01/2013	20978	-203		SP	INDAIATUBA			NAT	VEX	VEX	VEX	8483	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	361.0003.04.0	17352012	Finalizada	3,6A- ADVANCE  AZUL  C/VZ	24582012	361	GALÃO-S.	LATA	16/10/2012	09/01/2013	13/01/2013	14/01/2013	16/01/2013	4140	1087	4	EPOXI FENOLICO		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		AZUL EUROPA	PRETO	MAGENTA EUROPA	AMARELO BANDEIRA						FA	NÃO	4140	4333	24/11/2012	19740	-193	24582012	SP	INDAIATUBA			VI	VZ	VZ	VZ	4333	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	008.0003.02.0	17412012	Finalizada	1/8-  ADVANCE  VERMELHO   C/VZ  GRIS Ø42	24622012	8	1/8.	LATA	16/10/2012	31/12/2012	04/01/2013	05/01/2013	07/01/2013	10000	0	0	EPOXI ESMALTE GRIS		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		MAGENTA EUROPA	AMARELO EUROPA	PRETO	AZUL EUROPA						FA	NÃO	10000				10000		SP	INDAIATUBA		SOLDA	VI	VZ	VZ	VZ	0	Finalizada
CLAUDIO FRANCO DA ROCHA	ADVANCE TINTAS E VERNIZES LTDA	008.0003.02.0	17422012	Finalizada	1/8-  ADVANCE  VERMELHO   C/VZ  GRIS Ø42	24632012	8	1/8.	LATA	16/10/2012	31/12/2012	04/01/2013	05/01/2013	07/01/2013	2000	0	0	EPOXI ESMALTE GRIS		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		MAGENTA EUROPA	AMARELO EUROPA	PRETO	AZUL EUROPA						Ø42	NÃO	2000				2000		SP	INDAIATUBA		SOLDA	VI	VZ	VZ	VZ	0	Finalizada
ROGERIO BARRETTO MARTINS	EUROAMERICAN DO BRASIL IMP.IND.E COM.LTDA	361.0107.12.0	20602012	Finalizada	3,6S- QUALYVINIL ESMALTE SINTETICO STANDARD ME0071	29642012	361	GALÃO-S.	LATA	08/11/2012	04/01/2013	08/01/2013	09/01/2013	11/01/2013	3000	788	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM											FA	NÃO	3000	2801	15/01/2013	20874	199	29642012	SP	JANDIRA			NAT	VEX	VEX	VEX	2801	Finalizada
CLAUDIO FRANCO DA ROCHA	PROLLAC COR IND. E COM. LTDA.	141.1239.01.0	20542012	Finalizada	¼GLS- SICOLTEX   GENERICO	29792012	141	¼  (S).	LATA	08/11/2012	11/01/2013	15/01/2013	16/01/2013	18/01/2013	5040	378	14			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		BRANCO OPACO	BRANCO OPACO 2ªPASS	VERMELHO LINOVA	AZUL LINOVA						FA	NÃO	5040	5369	22/01/2013	21064	-329	29792012	SP	ARUJA			NAT	VEX	VEX	VEX	5369	Finalizada
