CÓDIGO	DESCRICAO	GRUPO
ALU-T01	ALUMINIO 6700	TINTA
AMA-T01	AMARELO BANDEIRA	TINTA
AMA-T02	AMARELO LIMAO	TINTA
AMA-T03	AMARELO PADRAO	TINTA
AMA-T04	AMARELO ESCALA	TINTA
AMA-T05	AMARELO MEDIO	TINTA
AMA-T06	AMARELO BRASCOVED	TINTA
AMA-T07	AMARELO EUROPA	TINTA
AMA-T08	AMARELO LEDA	TINTA
AMA-T09	AMARELO REAL	TINTA
AMA-T10	AMARELO RESIZAN	TINTA
AMA-T11	AMARELO BONA	TINTA
AMA-T12	AMARELO CONVENCIONAL	TINTA
AMA-T14	AMARELO ANDERLUX	TINTA
AMA-T15	AMARELO PREPARADO	TINTA
AMA-T16	AMARELO LINOVA	TINTA
AMA-T17	AMARELO PREPARADO 2ªPASS	TINTA
AMA-T18	AMARELO ESCALA 2ªPASS	TINTA
AMA-T21	YELLOW C	TINTA
AMA-T22	AMARELO ADESICOL	TINTA
AMA-T23	AMARELO PANTONE 605C	TINTA
AMA-T24	AMARELO 114 SOL E MAR	TINTA
AMA-T25	AMARELO 123 SOL E MAR	TINTA
AMA-T26	AMARELO NEUTROL	TINTA
AZU-T01	AZUL DURAMAR	TINTA
AZU-T02	AZUL LINOVA	TINTA
AZU-T03	AZUL EUROPA	TINTA
AZU-T04	AZUL CYAN	TINTA
AZU-T05	AZUL ESCALA	TINTA
AZU-T06	AZUL METALCOR	TINTA
AZU-T07	AZUL UNA	TINTA
AZU-T08	AZUL TOZAN RAZ NOVO	TINTA
AZU-T09	AZUL ADVANCE	TINTA
AZU-T10	AZUL REALCE	TINTA
AZU-T11	AZUL REFLEX BLUE	TINTA
AZU-T12	AZUL SOL BRILHO	TINTA
AZU-T13	AZUL VIWACRIL	TINTA
AZU-T15	AZUL AUDI	TINTA
AZU-T16	AZUL DIRECIONAL	TINTA
AZU-T17	AZUL CLARILEVE	TINTA
AZU-T18	AZUL HUMAITA	TINTA
AZU-T19	AZUL ADEFLEX	TINTA
AZU-T21	AZUL P-300	TINTA
AZU-T23	AZUL VINILPLAST	TINTA
AZU-T24	AZUL ESC.COLORIN	TINTA
AZU-T25	AZUL VAN BASTER	TINTA
AZU-T27	AZUL INDUSTRIAL NOVO	TINTA
AZU-T28	AZUL REAL LATEX	TINTA
AZU-T29	AZUL CONVENCIONAL	TINTA
AZU-T30	AZUL MEKOL	TINTA
AZU-T31	AZUL CLARO QUALYT	TINTA
AZU-T32	AZUL PRATA BIG	TINTA
AZU-T33	AZUL CRISTAL COLOR	TINTA
